Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
JINDBARI (38586),JINDBARI BASS SAINI MAJRA ( 277844 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JINDBARI (38586),JINDBARI UPPER ( 260856 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
JOL (38571),JOL ( 19362 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SAMLAH (38408),KAHIWAL BASS ( 260842 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KALITRAN (38580),KALITRAN ( 19363 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KALOTA (38364),KALOTA ( 19364 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KALSERA (38559),KALSERA ( 19365 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KHAMERA (38368),KHAMERA ( 19369 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KHAMERA (38368),KHAMERA LOWER ( 277579 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHANPUR (38354),KHANPUR ( 19370 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KHERABAGH (38562),KHERA BAG ( 19371 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kotla (38414),KOTLA ( 19373 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KULGRAON (38545),KULGRAN ( 19374 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
DHANERA (38406),LAKHER ( 19375 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
LAKHER (38407),LAKHER ( 19375 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BACHOLI (38400),LAMLEHARI ( 19376 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
LAMLEHRI (38399),LAMLEHARI ( 19376 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
LANG MAJRI (38391),LANG MAJARI ( 19377 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
LODHIPUR (38427),LODHIPUR ( 19378 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
LODIPUR (38427),LODHIPUR BASS BROTU ( 277841 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PATTI (38570),LOWER PATTI ( 277845 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHAIN (38345),MAHAIN ( 19379 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MAJARA (38392),MAJARA ( 19380 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
MAJARI (38539),MAJARI ( 19381 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MAJARI (38539),MAJARI LOWER ( 19382 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MAJHER (38517),MAJHER ( 19383 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MANAKPUR (38569),MANAKPUR ( 19385 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MANGEWAL (38366),MANGEWAL ( 19386 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MANGEWAL (38366),MANGEWAL BAGH UPPER ( 260843 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
GHANAUR (38520),MASSEWAL ( 19390 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MASSEWAL (38523),MASSEWAL ( 19390 ),ANANDPUR SAHIB ( 332 ),RUPNAGAR ( 42 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
